


1,,,,,,,,,
2.85E-01,3.13E+00,2.80E-02,6.49E-01,-8.44E-03,4.75E-03,,,,
1.68E-02,6.26E-02,1.26E-02,7.34E-02,1.16E-02,3.54E-03,,,,
8.56E+00,1.40E+01,8.58E-01,1.05E+00,1.00E+00,1.01E+00,-1.10E+03,1.00E+00,-1.10E+03,1.03E+00
6.00E+00,2.22E+03,2.24E+03,2.22E+03,0.00E+00,2.04E-02,1.54E-03,,,
2,,,,,,,,,
3.43E-01,3.12E+00,2.90E-02,4.03E-01,1.66E-02,-2.43E-03,,,,
2.24E-02,5.40E-02,1.24E-02,5.97E-02,1.11E-02,4.05E-03,,,,
1.17E+01,1.40E+01,6.27E-01,1.05E+00,1.00E+00,1.00E+00,-1.13E+03,1.07E+00,-1.12E+03,1.05E+00
6.00E+00,2.27E+03,2.29E+03,2.27E+03,0.00E+00,9.04E-02,9.95E-03,,,
3,,,,,,,,,
3.86E-01,3.23E+00,3.15E-02,6.36E-01,-1.12E-02,-5.32E-05,,,,
2.41E-02,6.45E-02,1.36E-02,7.83E-02,1.49E-02,4.64E-03,,,,
9.47E+00,1.40E+01,8.00E-01,1.05E+00,1.00E+00,1.01E+00,-1.21E+03,1.02E+00,-1.21E+03,1.02E+00
6.00E+00,2.43E+03,2.45E+03,2.43E+03,0.00E+00,3.58E-02,6.92E-03,,,
4,,,,,,,,,
3.05E-01,3.21E+00,7.65E-03,6.55E-01,-7.87E-03,2.03E-03,,,,
2.11E-02,6.33E-02,1.25E-02,8.10E-02,1.21E-02,3.58E-03,,,,
1.79E+01,1.40E+01,2.11E-01,1.05E+00,9.93E-01,9.95E-01,-1.12E+03,1.06E+00,-1.11E+03,1.06E+00
6.00E+00,2.26E+03,2.28E+03,2.26E+03,3.65E-02,9.62E-02,1.73E-03,,,
5,,,,,,,,,
3.88E-01,3.16E+00,4.37E-02,5.54E-01,-6.76E-05,5.73E-03,,,,
2.47E-02,6.14E-02,1.46E-02,6.86E-02,1.36E-02,4.79E-03,,,,
1.28E+01,1.40E+01,5.39E-01,1.05E+00,1.00E+00,1.00E+00,-1.22E+03,9.75E-01,-1.22E+03,1.01E+00
6.00E+00,2.46E+03,2.48E+03,2.46E+03,0.00E+00,7.13E-02,1.56E-03,,,
6,,,,,,,,,
3.14E-01,3.20E+00,-1.44E-03,6.01E-01,-2.21E-02,3.57E-03,,,,
2.18E-02,6.14E-02,1.29E-02,6.79E-02,1.27E-02,4.01E-03,,,,
7.42E+00,1.40E+01,9.17E-01,1.05E+00,1.00E+00,1.01E+00,-1.12E+03,1.03E+00,-1.12E+03,1.07E+00
6.00E+00,2.25E+03,2.27E+03,2.26E+03,0.00E+00,5.81E-02,8.33E-04,,,
7,,,,,,,,,
3.49E-01,3.11E+00,2.72E-02,4.73E-01,1.28E-03,2.76E-03,,,,
2.01E-02,5.71E-02,1.34E-02,6.15E-02,1.13E-02,4.20E-03,,,,
8.73E+00,1.40E+01,8.48E-01,1.05E+00,1.00E+00,1.01E+00,-1.16E+03,9.58E-01,-1.15E+03,9.78E-01
6.00E+00,2.33E+03,2.35E+03,2.33E+03,0.00E+00,6.11E-02,1.59E-03,,,
8,,,,,,,,,
3.59E-01,3.14E+00,2.00E-02,5.43E-01,-2.09E-03,-2.17E-03,,,,
2.20E-02,6.02E-02,1.27E-02,7.53E-02,1.14E-02,3.63E-03,,,,
2.09E+01,1.40E+01,1.03E-01,1.05E+00,9.85E-01,9.89E-01,-1.16E+03,9.98E-01,-1.15E+03,1.04E+00
6.00E+00,2.34E+03,2.36E+03,2.34E+03,4.87E-02,9.91E-02,1.32E-03,,,
9,,,,,,,,,
3.05E-01,3.10E+00,5.31E-03,5.37E-01,3.33E-03,1.65E-03,,,,
2.15E-02,5.87E-02,1.24E-02,6.14E-02,1.13E-02,4.00E-03,,,,
2.36E+01,1.40E+01,5.12E-02,1.05E+00,9.81E-01,9.87E-01,-1.11E+03,1.09E+00,-1.10E+03,1.07E+00
6.00E+00,2.23E+03,2.25E+03,2.23E+03,5.73E-02,8.33E-02,1.83E-03,,,
